model,step,n_features,rps
TabICL,107,107,0.1683510871547966
TabPFN,0,1,0.20576215140750279
TabPFN,1,1,0.1700715498484508
TabPFN,2,2,0.16985043959136753
TabPFN,3,3,0.1698994948214332
TabPFN,5,5,0.16997755029944372
TabPFN,8,8,0.16983927797730083
TabPFN,15,15,0.16903789995945115
TabPFN,30,30,0.16858991270865153
TabPFN,107,107,0.16821285265495317
XGBoost,0,1,0.20677672372566797
XGBoost,1,1,0.17107414386161746
XGBoost,2,2,0.17109297363145795
XGBoost,3,3,0.17193420953225683
XGBoost,4,4,0.17122133859435118
XGBoost,5,5,0.1709711452133732
XGBoost,6,6,0.1709448156198135
XGBoost,7,7,0.17114141262961824
XGBoost,8,8,0.17129714527207346
XGBoost,9,9,0.17143604165092466
XGBoost,10,10,0.1725708731829857
XGBoost,11,11,0.17149551156032605
XGBoost,12,12,0.17194373783682346
XGBoost,13,13,0.1713566281696231
XGBoost,14,14,0.17105489918947175
XGBoost,15,15,0.17054173299638242
XGBoost,16,16,0.17091654909292084
XGBoost,17,17,0.1709767843573505
XGBoost,18,18,0.17091962939795868
XGBoost,19,19,0.17091962939795868
XGBoost,20,20,0.17091962939795868
XGBoost,21,21,0.17091962939795868
XGBoost,22,22,0.17091962939795868
XGBoost,23,23,0.17091962939795868
XGBoost,24,24,0.17091962939795868
XGBoost,25,25,0.17091962939795868
XGBoost,26,26,0.17091962939795868
XGBoost,27,27,0.17091962939795868
XGBoost,28,28,0.17091962939795868
XGBoost,29,29,0.17091962939795868
XGBoost,30,30,0.17091962939795868
XGBoost,31,31,0.17091962939795868
XGBoost,32,32,0.17091962939795868
XGBoost,33,33,0.17091962939795868
XGBoost,34,34,0.17091962939795868
XGBoost,35,35,0.17091962939795868
XGBoost,36,36,0.17091962939795868
XGBoost,37,37,0.17091962939795868
XGBoost,38,38,0.17091962939795868
XGBoost,39,39,0.17091962939795868
XGBoost,40,40,0.17091962939795868
XGBoost,41,41,0.17091962939795868
XGBoost,42,42,0.17091962939795868
XGBoost,43,43,0.17091962939795868
XGBoost,44,44,0.17091962939795868
XGBoost,45,45,0.17091962939795868
XGBoost,107,107,0.17094358998681844
