model,n,RPS,logloss,Brier,Accuracy
LogReg,3597,0.1685,0.8922,0.5083,0.603
TabPFN,3597,0.1691,0.9028,0.5096,0.604
TabICL,3597,0.1692,0.8944,0.5095,0.605
CatBoost,3597,0.1704,0.9147,0.5123,0.601
XGBoost,3597,0.1736,0.929,0.5214,0.596
